year,month,first,last,entertainment,food_dining,gas_transport,grocery_net,grocery_pos,health_fitness,home,kids_pets,misc_net,misc_pos,personal_care,shopping_net,shopping_pos,travel,Total Amount,median_monthly_income
2019,1,Aaron,Murray,404.8,307.99,342.12,149.81,927.21,758.83,776.81,409.83,206.52,179.8,388.36,205.01999999999998,1052.0,1360.36,7469.46,3667
2019,1,Aaron,Pena,167.75,406.97,465.69,55.95,433.46,6.89,494.02,634.01,66.89,16.29,165.31,24.14,328.3,9.48,3275.1499999999996,5667
2019,1,Aaron,Rogers,,54.71,348.83,,98.09,,156.26,125.47,,6.7,77.21,6.76,4.02,,878.0500000000001,7917
2019,1,Aaron,Stewart,62.53,81.5,125.89000000000001,36.72,,10.12,317.39000000000004,29.58,,13.58,,10.120000000000001,10.44,,697.8700000000001,6000
2019,1,Adam,Keller,,180.81,83.11,127.52000000000001,114.65,190.14999999999998,64.79,151.65,5.38,,145.64000000000001,32.59,2.72,6.09,1105.1,5667
2019,1,Adam,Kirk,71.83,51.2,850.01,,665.81,150.11,241.86,244.26999999999998,99.62,94.68,232.54000000000002,25.87,201.39999999999998,31.17,2960.37,18333
2019,1,Adam,Mcdonald,267.23,110.44999999999999,209.39999999999998,93.9,214.06,297.33,319.95,193.74,225.10000000000002,68.66,,355.76,257.05,491.01,3103.6400000000003,6000
2019,1,Adam,Riddle,447.52,541.08,339.44,104.05,877.0,597.49,485.09000000000003,188.04,240.7,72.71,372.33,451.77,658.57,3577.97,8953.759999999998,4833
2019,1,Adam,Santos,426.19,297.0,672.93,203.69,897.9200000000001,244.03,1055.33,279.49,9.78,47.27,135.17000000000002,1522.8,1490.67,123.75999999999999,7406.030000000001,6000
2019,1,Adam,Stark,336.41999999999996,217.91,503.65,101.51,3274.19,258.67,134.03,614.73,705.13,177.35999999999999,219.82,5051.33,14.719999999999999,1.04,11610.51,4833
2019,1,Adriana,Harvey,44.42,58.36,595.25,68.14,152.55,119.37,99.65,138.64,20.02,387.03,61.47,1266.5900000000001,86.66,55.27,3153.42,14583
2019,1,Alan,Colon,260.6,118.63,281.87,239.99,424.21000000000004,191.68,408.39,551.73,30.63,528.8399999999999,65.48,572.19,16.47,,3690.7100000000005,7083
2019,1,Alan,Howard,39.830000000000005,313.24,199.26999999999998,99.61,171.51,77.25999999999999,165.13,397.89,437.75,296.65,122.1,13.29,65.0,13.06,2411.5899999999997,4583
2019,1,Alan,Parsons,53.43,230.05,300.41,33.4,545.92,234.27,172.48,344.48,175.48000000000002,109.25,83.23,290.22999999999996,1.31,,2573.94,7917
2019,1,Alan,Taylor,20.25,237.89999999999998,75.23,,205.79000000000002,,100.97999999999999,220.47,253.39999999999998,113.12,22.03,,15.510000000000002,,1264.6799999999998,7917
2019,1,Alex,White,20.76,62.22,68.64,67.2,165.79,262.52,62.21,271.73,27.45,91.78,101.66,,1562.37,7.14,2771.47,5167
2019,1,Alice,Kemp,158.25,134.25,222.97,87.58,860.4,262.75,669.6500000000001,262.4,20.02,247.13,67.88,13.120000000000001,35.68,,3042.08,21000
2019,1,Alicia,Bishop,153.45000000000002,733.62,422.32,78.28,400.67999999999995,92.19999999999999,193.05,515.61,28.5,1.17,149.63,4.6,764.2199999999999,14.350000000000001,3551.68,7083
2019,1,Alicia,Hawkins,43.25,130.77,177.44,263.0,537.92,9.96,52.77,132.58,7.86,386.26,68.65,16.27,255.92,1.29,2083.94,6833
2019,1,Alicia,Miller,74.63,1.76,110.63,,131.68,,49.29,130.77,28.66,4.58,,,7.97,,539.97,12083
2019,1,Alicia,Mitchell,55.12,126.39,280.7,225.43,286.24,93.63,232.3,254.42,88.78999999999999,30.28,76.9,944.16,47.150000000000006,,2741.51,5167
2019,1,Alicia,Morales,435.28,340.07,228.95,50.44,1055.98,188.44,654.37,514.87,130.35000000000002,253.75,111.63,232.09,883.61,18.24,5098.069999999999,5167
2019,1,Allen,Bell,777.63,368.74,436.12,190.70999999999998,401.37,826.1,861.73,412.27,200.8,203.15,142.41,867.87,535.03,1368.1599999999999,7592.089999999999,8167
2019,1,Allison,Allen,743.08,622.22,635.3399999999999,314.09000000000003,2015.56,640.53,726.53,702.25,1497.8000000000002,869.69,97.94,1390.07,545.14,16.89,10817.13,8500
2019,1,Allison,Ayala,938.04,338.22,389.08,391.62,1973.82,434.34000000000003,812.51,697.49,177.16000000000003,702.9000000000001,346.7,3257.6899999999996,349.93,7.5,10817.0,4833
